 
.1.wav.json vs .CelloC2.wav.json: spectral.slope.ch2: -0.0000204871 (File1), -0.0000126547 (File2), Absolute Difference: 7.8324e-06
.1.wav.json vs .CelloC2.wav.json: spectral.decrease.ch1: 0.000887567 (File1), 0.001785 (File2), Absolute Difference: 0.000897433
.1.wav.json vs .CelloC2.wav.json: spectral.decrease.ch2: -0.00395933 (File1), 0.00178858 (File2), Absolute Difference: 0.00574791
.1.wav.json vs .CelloC2.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 6419.55 (File2), Absolute Difference: 3908.49
.1.wav.json vs .CelloC2.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 6422.21 (File2), Absolute Difference: 2818.52
.1.wav.json vs .CelloHarmA.wav.json: metadata.format.duration: 7.759478 (File1), 7.938821 (File2), Absolute Difference: 0.179343
.1.wav.json vs .CelloHarmA.wav.json: loudness.max_volume: -2.0 (File1), -13.2 (File2), Absolute Difference: 11.2
.1.wav.json vs .CelloHarmA.wav.json: loudness.mean_volume: -30.3 (File1), -26.0 (File2), Absolute Difference: 4.3
.1.wav.json vs .CelloHarmA.wav.json: loudness.integrated_lufs: -18.7 (File1), -19.6 (File2), Absolute Difference: .9
.1.wav.json vs .CelloHarmA.wav.json: loudness.threshold: -42.8 (File1), -40.6 (File2), Absolute Difference: 2.2
.1.wav.json vs .CelloHarmA.wav.json: loudness.lra: 5.2 (File1), 6.2 (File2), Absolute Difference: 1
.1.wav.json vs .CelloHarmA.wav.json: spectral.centroid.ch1: 1239.22 (File1), 3987.12 (File2), Absolute Difference: 2747.9
.1.wav.json vs .CelloHarmA.wav.json: spectral.centroid.ch2: 1739.45 (File1), 3982.81 (File2), Absolute Difference: 2243.36
.1.wav.json vs .CelloHarmA.wav.json: spectral.variance.ch1: 2.92949E-9 (File1), 1.39723E-8 (File2), Absolute Difference: 15.4677
.1.wav.json vs .CelloHarmA.wav.json: spectral.variance.ch2: 7.60612E-9 (File1), 1.39723E-8 (File2), Absolute Difference: 10.7911
.1.wav.json vs .CelloHarmA.wav.json: spectral.spread.ch1: 1206 (File1), 4201.79 (File2), Absolute Difference: 2995.79
.1.wav.json vs .CelloHarmA.wav.json: spectral.spread.ch2: 1707.59 (File1), 4201.64 (File2), Absolute Difference: 2494.05
.1.wav.json vs .CelloHarmA.wav.json: spectral.skewness.ch1: 1.12663 (File1), 1.77978 (File2), Absolute Difference: 0.65315
.1.wav.json vs .CelloHarmA.wav.json: spectral.skewness.ch2: 1.24188 (File1), 1.78102 (File2), Absolute Difference: 0.53914
.1.wav.json vs .CelloHarmA.wav.json: spectral.kurtosis.ch1: 2.25577 (File1), 7.02271 (File2), Absolute Difference: 4.76694
.1.wav.json vs .CelloHarmA.wav.json: spectral.kurtosis.ch2: 3.41568 (File1), 7.0244 (File2), Absolute Difference: 3.60872
.1.wav.json vs .CelloHarmA.wav.json: spectral.entropy.ch1: 0.193421 (File1), 0.117228 (File2), Absolute Difference: .076193
.1.wav.json vs .CelloHarmA.wav.json: spectral.entropy.ch2: 0.205477 (File1), 0.117221 (File2), Absolute Difference: .088256
.1.wav.json vs .CelloHarmA.wav.json: spectral.flatness.ch1: 0.133161 (File1), 0.393056 (File2), Absolute Difference: 0.259895
.1.wav.json vs .CelloHarmA.wav.json: spectral.flatness.ch2: 0.212222 (File1), 0.392988 (File2), Absolute Difference: 0.180766
.1.wav.json vs .CelloHarmA.wav.json: spectral.crest.ch1: 8.03202 (File1), 1317.73 (File2), Absolute Difference: 1309.7
.1.wav.json vs .CelloHarmA.wav.json: spectral.crest.ch2: 6.10815 (File1), 1317.73 (File2), Absolute Difference: 1311.62
.1.wav.json vs .CelloHarmA.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.0140538 (File2), Absolute Difference: 0.00819989
.1.wav.json vs .CelloHarmA.wav.json: spectral.flux.ch2: 0.010021 (File1), 0.0140538 (File2), Absolute Difference: 0.0040328
.1.wav.json vs .CelloHarmA.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.00000986723 (File2), Absolute Difference: 5.38337e-06
.1.wav.json vs .CelloHarmA.wav.json: spectral.slope.ch2: -0.0000204871 (File1), -0.00000986717 (File2), Absolute Difference: 1.06199e-05
.1.wav.json vs .CelloHarmA.wav.json: spectral.decrease.ch1: 0.000887567 (File1), -0.00114734 (File2), Absolute Difference: .002034907
.1.wav.json vs .CelloHarmA.wav.json: spectral.decrease.ch2: -0.00395933 (File1), -0.00113236 (File2), Absolute Difference: 0.00282697
.1.wav.json vs .CelloHarmA.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 8519.13 (File2), Absolute Difference: 6008.07
.1.wav.json vs .CelloHarmA.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 8518.58 (File2), Absolute Difference: 4914.89
.1.wav.json vs .CelloHarmD.wav.json: metadata.format.duration: 7.759478 (File1), 6.506236 (File2), Absolute Difference: 1.253242
.1.wav.json vs .CelloHarmD.wav.json: loudness.max_volume: -2.0 (File1), -17.9 (File2), Absolute Difference: 15.9
.1.wav.json vs .CelloHarmD.wav.json: loudness.mean_volume: -30.3 (File1), -30.3 (File2), Absolute Difference: 0
.1.wav.json vs .CelloHarmD.wav.json: loudness.integrated_lufs: -18.7 (File1), -23.9 (File2), Absolute Difference: 5.2
.1.wav.json vs .CelloHarmD.wav.json: loudness.threshold: -42.8 (File1), -44.5 (File2), Absolute Difference: 1.7
.1.wav.json vs .CelloHarmD.wav.json: loudness.lra: 5.2 (File1), 5.0 (File2), Absolute Difference: .2
